input,output
خصوصیات این ماهیچه چیست؟,این نوع ماهیچه شامل سلول‌های منفرد ماهیچه قلب (کاردیومیوسیت‌ها) هستند که از طریق صفحات بینابینی به هم متصل شده و در فیبرهای کلاژن و دیگر مواد سازنده ماتریکس برون‌سلولی، دربرگرفته شده‌اند
بیماری‌ای مرتبط با این ماهیچه است؟,از جمله آنزین پکتوریس، سکته قلبی و دیگر بیماری‌های ماهیچه قلبی که به آن‌ها کاردیومیوپاتی می‌گویند
پکتوریس را بیشتر توضیح می‌دهید؟,غیرقابل‌پاسخ
خود این ماهیچه برای فعالیت به خون نیاز دارد؟,خون از طریق گردش کرونری میوکاردیوم را تغذیه می‌کند
ظرفیت فعلی ورزشگاه آزادی چقدر است؟,۷۸٬۱۱۶ صندلی
در گذشته چقدر بوده؟,۱۰۰ هزار نفر
علت این کم شدن حجم چه بود؟,پس از نصب صندلی و اعلام تعداد دقیق صندلی‌ها، گنجایش اسمی ورزشگاه به ۷۸٬۱۱۶ نفر کاهش یافت
آیا ورزشگاه کیفیت مناسبی دارد؟,ورزشگاه آزادی تهران از نظر استانداردها و ضوابط کنفدراسیون فوتبال آسیا دارای نمره A- است
نمره -A یعنی چه؟,غیرقابل‌پاسخ
آیا ورزشگاه امکانات رفاهی هم دارد؟,غیرقابل‌پاسخ
قبل از انقلاب نام متفاوتی داشت؟,(ورزشگاه آریامهر
به مناسبت خاصی ساخته شده؟,برای میزبانی بازی‌های آسیایی ۱۹۷۴
چه بازی‌هایی در آن انجام می‌شود؟,بازی‌های خانگی تیم ملی فوتبال ایران و همچنین دو تیم بزرگ پایتخت‌نشین استقلال و پرسپولیس
آیا قابل اجاره هم هست؟,غیرقابل‌پاسخ
خاطره‌دارترین بازی این ورزشگاه چیست؟,غیرقابل‌پاسخ
سازنده‌اش چه شخصی است؟,عبدالعزیز فرمانفرمائیان
خنتو اسطوره کدام باشگاه است؟,رئال مادرید
اهل کدام کشور است؟,اهل اسپانیا بود
بازیکن بزرگی محسوب می‌شد؟,یکی از بزرگ‌ترین بازیکنان تاریخ در پست تخصصی‌اش
نام کاملش چیست؟,فرانسیسکو «پاکو» خنتو لوپز
تمام مدت در رئال بود؟,حرفه‌اش را از باشگاه فوتبال راسینگ سانتاندر در سال ۱۹۵۲ آغاز کرد و در فصل بعد به باشگاه فوتبال رئال مادرید پیوست
در کجای زمین بازی می‌کرد؟,وینگر چپ
چه افتخاراتی با رئال دارد؟,وی علاوه بر دستیابی به ۱۲ عنوان قهرمانی لالیگا توانست به رکورد حضور در ۸ فینال لیگ قهرمانان اروپا دست یابد که شش موردش منجر به قهرمانی شد
با اسپانیا چطور؟,غیرقابل‌پاسخ
او همچنان در قید حیات است؟,در ۱۸ ژانویهٔ سال ۲۰۲۲ درگذشت
به جز بازیکن منسب دیگری هم در رئال داشته؟,مدیر افتخاری رئال مادرید
آنگلوساکسون‌ها از چه زمانی وارد انگلیس شدند؟,انتهای سده ۴ میلادی و سال‌های آغازین سده ۵ میلادی
چطور این اتفاق افتاد؟,در انتهای سده ۴ میلادی، رهبر رومی انگلستان از قبایل آلمانی خواست که در انگلستان مستقر گردند. او با این تصمیم میخواست که ژرمن‌ها را متحدانی صمیمی برای بخش رومی انگلستان سازد تا از حملات پیکت‌ها جلوگیری کند. اما نتیجه خلاف انتظار بود. سیل اقوام ژرمن، در آغاز سده ۵ میلادی، رومیان انگلیسی را ناگزیر به ترک جزیره نمود و سلت‌ها را نیز به سمت غرب به عقب راند. آغاز قرون وسطا در انگلستان را همزمان با همین تهاجم‌ها ذکر کرده‌اند
چه قبایلی؟,از جمله آنگلوساکسون‌ها می‌توان به «آنگل» ها، «گوت» ها، «فریزی» ها و «ساکسون» ها اشاره نمود
نورمن‌ها چه زمانی به انگلیس حمله کردند؟,در زمان جانشینان اگبرت
در چه تاریخی؟,غیرقابل‌پاسخ
اگبرت که بود؟,نخستین پادشاه از سلسله ساکسون‌های غربی بود
قبل از اگبرت وضع چطور بود؟,غیرقابل‌پاسخ
آنگلوساکسون‌ها چگونه مسیحی شدند؟,شاه کنت از انگلوساکسون‌ها با شاهزاده‌ای مسیحی از فرانک‌ها ازدواج کرد. این ازدواج، شاه کنت را مسیحی کرد و به موجب همکاری شاه کنت با اگوستین، مسیحیت در جزیره گسترش یافت
فارکس چیست؟,یک بازار نامتمرکز دو طرفه، برای تبادل و معامله‌گری ارز است
آیا در سطح جهان مهم است؟,از لحاظ حجم معاملات بزرگترین بازار مالی در جهان است
مردم از آن چگونه کسب سود می‌کنند؟,خرید و فروش کالا یا خدمات شرکت‌ها یا دولت‌ها، هزینه‌های سفر و خرید جهانگردان یا سرمایه‌گذاری اشخاص یا بنگاه‌ها در کشور مورد استفادهٔ ارز می‌باشد
تفاوت آن با بازارهای مالی عادی چیست؟,تبادلات این بازار برخلاف بازارهای مالی سنتی که در مکان فیزیکی خاص و قوانین سازمان یافتهٔ به‌خصوص انجام می‌شوند، در محل مشخصی متمرکز نیست و در حقیقت معاملات بین طرف‌های معامله از طریق اینترنت، تلفن یا شبکه ارتباطی بین بانکی صورت می‌پذیرد
یعنی قوانین را طرف‌های معامله تعیین می‌کنند؟,غیرقابل‌پاسخ
چه ارزهایی پشتیبانی می‌شوند؟,همه ارزها
ریال جز تحریم نیست؟,غیرقابل‌پاسخ
چند قسمت از خندوانه پخش شده؟,٩٢٢ قسمت
در چند فصل؟,فصل هشتم
مجری برنامه کیست؟,رامبد جوان
برنامه از چه سالی شروع پخش کرد؟,غیرقابل‌پاسخ
برنامه از کدام شبکه پخش می‌شود؟,شبکه نسیم
فقط از همین شبکه؟,در اسفند ۹۸ مجددا از شبکه‌های یک سیما و شبکه نسیم بازپخش شد
نحوه شرکت در این برنامه چیست؟,این برنامه از تماشاگرانی تشکیل شده‌است که با تست خنده و از میان افراد متقاضی به برنامه وارد شده‌اند
برنامه به چه شکل است؟,مسابقه‌های مختلف ابداعی، بخش‌های نمایشی، موسیقایی، استندآپ کمدی و… از اولویت‌های جدی خندوانه هستند
"در تمام مدت تاریخ پخش, روند بدین صورت بوده؟",غیرقابل‌پاسخ
توسکا در کجا می‌روید؟,در زمین‌های مرطوب یا باتلاقی
در ایران هم می‌روید؟,تنها دو نوع از آن با نام‌های توسکای ییلاقی (سردسیر) و توسکای قشلاقی (گرمسیر) در ایران رشد می‌کنند
بلندی این درختان چقدر است؟,۲۱ متر
چند نوع از این درخت وجود دارد؟,بیش از ۳۰ نوع
این درخت جز چه دسته‌ای از گیاهان است؟,نوع گیاهان خزان‌کننده است
ویژگی‌های این نوع چیست؟,به‌وسیلهٔ باد گرده‌افشانی می‌کند
توسکا دارای برگ‌ها بزرگی است؟,غیرقابل‌پاسخ
برگ‌هایش به شکل هستند؟,برگ‌ها در این گونه، بیضی و مدور، با پایه‌ای گوه شکل و متناوب (پر موج) و دارای سطحی چسبنده و حاشیه‌ای دندانه‌دار و همچنین رگبرگهای شانه‌ای شکل هستند
گل‌هاش چطور؟,گلها چوبی و با شکل نامشخص (معمولا به صورت کروی)
آیا میوه هم دارد؟,میوهٔ آن شبیه به توت کال است
این درختان تا چند سال عمر می‌کنند؟,عمر آن‌ها معمولا تا ۱۰۰ سال است
ظاهر مجسمه ابوالهول چرا عجیب است؟,ابوالهول غول افسانه‌ای مصر باستان و اسطورهٔ ادیپ، مخلوطی از انسان و حیوان با پیکری از شیر، مزین به بال‌های عقاب و دارای سری شبیه سر انسان با پوشش زنان زمان مصر باستان است
ابوالهول به چه معناست؟,هیکل عظیم
مجسمه در چه اندازه‌ای است؟,۳۰ متر ارتفاع و ۷۰ متر طول دارد
فاجعه هیلزبورو بین چه تیم‌هایی بود؟,بین تیم‌های لیورپول و ناتینگهام فارست
این بازی در چه رقابتی بود؟,مرحلهٔ نیمه‌نهایی جام حذفی فوتبال انگلستان
در کجا اتفاق افتاد؟,ورزشگاه هیلزبورو شهر شفیلد
چند نفر فوت کردند؟,۹۷ نفر
چند حادثه دیده داشت؟,۷۶۶ نفر
از هوادارن هر دو تیم فوت شد؟,هواداران لیورپول
علت حادثه زد و خورد بود؟,هواداران لیورپول با بالا رفتن از همدیگر و فنس‌های اطراف قصد خروج از آن منطقهٔ پرازدحام را داشتند و برای فرار کردن از له شدن و خفگی به تقلا و تلاش بیشتری می‌پرداختند
بیشتر توضیح دهید؟,هواداران لیورپول که از ظهر راهی ورزشگاه شده بودند، مجبور بودند از نرده‌های گردان قدیمی و کوچک سکوی غربی وارد شوند. لحظه به لحظه به ازدحام جمعیت افزوده شد و پلیس وقتی با حضور بیش از حد جمعیت در بیرون ورزشگاه روبرو شد، در تصمیمی غیره منتظره تصمیم به گشودن یکی از دروازه‌هایی که معمولا تنها برای خروج هواداران از آن استفاده می‌شد را گرفت. با این کار ورود سیل جمعیت شتاب بیش از حدی گرفت و مردم در حالی به سمت داخل ورزشگاه هجوم می‌بردند، که نمی‌دانستند مشغول «له کردن» افرادی هستند که در نزدیک فنس‌ها به تماشای بازی می‌پردازند
حادثه عمدی بود؟,غیرقابل‌پاسخ
این اتفاق در چه زمانی از مسابقه رخ داد؟,داور بازی به توصیهٔ پلیس، پنج دقیقه پس از زدن سوت آغاز، مسابقه را متوقف کرد
چه کسی مقصر شناخته یا محکوم شد؟,غیرقابل‌پاسخ
واکنش‌های بعد از حادثه چه بود؟,غیرقابل‌پاسخ
مساحت پارک مرکزی چقدر است؟,حدود ۳۴۲ هکتار است
پارک طبیعی است؟,تقریبا تمام پارک مرکزی نیویورک، محوطه‌سازی شده و معماران آن را در قرن ۱۸، طراحی و بعد هم اجرا کرده‌اند
در چه زمانی ساخته شده؟,سال ۱۸۵۷ میلادی
به یکباره ساخته شده یا کم‌کم توسعه پیدا کرده؟,غیرقابل‌پاسخ
داخلش حوض یا دریاچه‌ای است؟,چند دریاچه ظاهرا طبیعی دارد که کاملا مصنوعی و ساخته دست معماران پارک است
چندتا دریاچه؟,غیرقابل‌پاسخ
آیا دویدن مجاز است؟,۱۰ کیلومتر از این پارک به مناطقی برای دویدن، دوچرخه سواری و اسکیت‌سواری اختصاص پیدا کرده‌است
ورزش دیگری هم می‌شود؟,مسیرهای پیاده‌روی، مسیرهای اسب‌سواری، دو زمین یخی اسکیت‌سواری
امکانات تفریحی هم دارد؟,باغ وحش، پناهگاه حیات وحش، جنگل طبیعی کوچک داخل پارک، زمین‌های بازی، زمین‌هایی مخصوص برای بازی کودکان، آمفی تئاتر رایگان پارک برای برگزاری کنسرت
ستاره دنباره‌دار هالی دفعه بعد کی قابل مشاهده است؟,سال ۲۰۶۲
هر چند سال یکبار از کنار زمین رد می‌شود؟,هر۷۲ تا ۷۵ سال
مسیرش در منظومه شمسی از کجاست؟,غیرقابل‌پاسخ
انداره‌اش چقدر است؟,غیرقابل‌پاسخ
جنس ستاره از چیست؟,سطح دنباله‌دار هالی تا حدود زیادی متشکل از گرد و خاک، مواد غیر فرار، و تنها بخش کوچکی از آن از یخ است
در هنگام عبور قابل مشاهده است؟,با چشم غیر مسلح دیده می‌شود
چرا به آن هالی می‌گویند؟,دنباله‌دار «هالی پی۱» که بنام اخترشناس انگلیسی ادموند هالی نام گذاری شده
یعنی هالی آن را کشف کرد؟,دوره‌ای و تناوبی بودن پدیدار شدن این دنباله‌دار برای اولین بار در سال ۱۷۰۵ میلادی توسط ستاره‌شناس انگلیسی، ادموند هالی دریافته و ثبت شد
پس چه کسی آن را کشف کرد؟,بازگشت دنباله‌دار هالی به سامانهٔ خورشیدی داخلی حداقل تا ۲۴۰ سال قبل از میلاد (بیش از ۲۲۵۰ سال پیش) مشاهده شده و توسط ستاره‌شناسان ثبت شده‌است
ستاره‌شناسان کدام کشور؟,چینیان، بابلیان، و تاریخ‌نویسان قرون وسطای اروپا
کلمه هالی معنای خاصی دارد؟,در فارسی و بیشتر زبان‌ها همان «هالی» بر وزن واژهٔ «خالی به معنی تهی» تلفظ می‌شود
سوارز اهل کجاست؟,اروگوئه
چند سالش است؟,(زاده ۲۴ ژانویهٔ ۱۹۸۷
در حال حاضر بازیکن کجاست؟,باشگاه فوتبال ناسیونال و تیم ملی اروگوئه
در چه پستی؟,مهاجم
از چه سالی شروع به فوتبال کرد؟,۲۰۰۳
برای چه تیمی به میدان رفت؟,باشگاه ناسیونال اروگوئه
افتخارات ملی دارد؟,قهرمانی اروگوئه در کوپا آمریکا ۲۰۱۱
مجموع گل‌هایش چقدر است؟,غیرقابل‌پاسخ
در چه سالی به بارسلونا پیوست؟,۱۵–۲۰۱۴
قبل از آن در چه باشگاهی بود؟,لیورپول
با چه مبلغی به بارسلونا پیوست؟,۸۲٫۳ میلیون یورو
این پول تماما سهم لیورپول بود؟,غیرقابل‌پاسخ
افتخارات تیمی او در بارسلونا چه بود؟,قهرمانی در سه‌گانه لالیگا، کوپا دل ری و لیگ قهرمانان اروپا ۱۵–۲۰۱۴
از بارسلونا مستقیم به ناسیونال رفت؟,در سال ۲۰۲۰ به باشگاه اتلتیکو مادرید پیوست
آیا جایزه فردی هم دریافت کرده؟,او در سال‌های ۲۰۱۴ و ۲۰۱۶ به عنوان بهترین گلزن، کفش طلای اروپا را دریافت کرد
در زمان جنگ جهانی اول رابطه ژاپن و آمریکا چگونه بود؟,این دو کشور در جنگ جهانی اول هم‌پیمان یکدیگر به حساب می‌آمدند
بعد از این جنگ چطور؟,پس از این جنگ امپراتوری ژاپن به عنوان یک قدرت جهانی مطرح و به رقیبی برای ایالات متحده جهت سلطه بر اقیانوس آرام تبدیل گشت. پس از میان رفتن امپراتوری روسیه و روی کار آمدن اتحاد جماهیر شوروی، امپراتوری ژاپن خطر کمتری از آن سمت احساس می‌کرد و نتیجتا در سیاست دفاعی جدید خود که در سال ۱۹۱۸ تبیین گردید، ایالات متحده را به منظور آماده‌سازی‌های آتی مخصوصا در نیروی دریایی، دشمن بالقوه شماره یک خود مشخص نمود
در زمان جنگ چین و ژاپن چرا آمریکا مخالف ژاپن بود و چه کرد؟,در حالی که امپراتوری ژاپن بر مراکز عمده صنعتی، نیروی انسانی، بندرها و منابع زیرزمینی چین سلطه یافته بود، ایالات متحده با کمک به دولت چیانگ کای‌شک، درصدد بود جلوی سیاست توسعه‌طلبانه امپراتوری ژاپن را سد کند. از زمان آغاز عملیات جنگی در اروپا، موقعیت مساعدتری برای امپراتوری ژاپن در خاور دور فراهم شد؛ به گونه‌ای که رژیم نظامی حاکم بر ژاپن، قصد خود را مبنی بر توسعه منافع در آسیای جنوب شرقی یا همان مستعمراتی که در اختیار استعمارگران اروپایی قرار داشت آشکار ساخت. آمریکا به‌طور جدی با طرح‌ها و نقشه‌های ژاپن مخالفت کرده، تحریم‌های اقتصادی و تجاری ضد آن کشور را افزایش داد
اولین درگیری ژاپن و آمریکا در کجا بود؟,پایگاه دریایی ایالات متحده در پرل هاربر در جزایر هاوایی در اقیانوس آرام
در چه تاریخ و ساعتی؟,ساعت ۷:۴۸ (به وقت هاوایی) صبح روز یکشنبه ۷ دسامبر سال ۱۹۴۱
این حمله چه نتیجه‌ای داشت؟,موجب ورود ایالات متحده به جنگ جهانی دوم شد
در داخل ژاپن در مورد این حمله چه نظری داشتند؟,بسیاری در ژاپن این حمله را تمهیدی دفاعی در مقابل مجموعه طولانی اقدامات تحریک‌آمیز ایالات متحده که در حقیقت موجب آغاز مخاصمات شده بود، می‌دانستند
تلفات و خسارات این حمله چقدر بود؟,نتیجه این حمله برای نیروی دریایی ایالات متحده یک فاجعه کامل بود. ۳۶۰ هواگرد ژاپنی توانستند پنج نبردناو آمریکایی را به همراه سه کشتی کوچک‌تر غرق کنند. سه نبردناو دیگر به گونه‌ای آسیب دیدند که توان عملیاتی خود را از دست دادند. علاوه بر این، ۱۸۸ هواگرد آمریکایی بر روی زمین نابود شد و ۱۵۵ هواگرد دیگر آسیب دیدند. در پایان روز شمار تلفات انسانی نیروهای آمریکایی بیش از ۲۴۰۰ کشته و ۱۲۴۰ مجروح بود
ناوگان آمریکا آیا از کار افتاد؟,ناوگان ایالات متحده در اقیانوس آرام به‌طور موقت از کار افتاد
نتیجه این اتفاق چه بود؟,تایلند به اجبار با ژاپن متحد شد و انگلیسی‌ها از برمه و مالایا بیرون رانده شدند. سنگاپور توسط ژاپن فتح شد و شصت هزار تن به اسارت درآمدند. ژاپنی‌ها به سرعت اندونزی (هند هلند) را تصرف و سرانجام، ارتش ایالات متحده را در فیلیپین وادار به تسلیم کردند. آن‌ها همچنین جزایر آمریکایی و بریتانیایی را در غرب اقیانوس آرام تصرف و جای پایی در جزایر آلیوتی و گینه نو به دست آوردند
آیا استرالیا هم فتح کرد؟,غیرقابل‌پاسخ
رئیس جمهور وقت آمریکا که بود؟,فرانکلین دلانو روزولت
بعد از این اتفاق چه کرد؟,در یک سخنرانی شش و نیم دقیقه‌ای، با اشاره به «تهاجم ناگهانی و عامدانه امپراتوری ژاپن» در «روزی که در تاریخ جهان به بدنامی خواهد ماند»، از آمریکایی‌ها خواست انتقام این «بدنامی»، «خیانت» و «حمله بی‌دلیل و مفتضحانه» را جهت دستیابی به «پیروزی غیرقابل اجتناب»، بگیرند. او از کنگره این کشور خواهان اتخاذ حالت جنگی با امپراتوری ژاپن شد. بدین ترتیب سعی در القای اقدامات نظامی آتی ایالات متحده در جنگ جهانی دوم به عنوان «واکنش و دفاع از خود» گردید. دولت ایالات متحده روز بعد به ژاپن اعلان جنگ داد
تب زرد چیست؟,نوعی بیماری حاد ویروسی است
نام دیگر آن چیست؟,طاعون زرد (به انگلیسی: yellow plague)
علائم آن را تشریح کنید؟,در بیشتر موارد، نشانه‌های بیماری شامل تب، لرز، از دست دادن اشتها، تهوع، دردهای ماهیچه‌ای (به ویژه در پشت) و سردرد است
طول این بیماری چقدر است؟,این مشکلات غالبا طی پنج روز بهبود می‌یابند. در برخی افراد، یک روز پس از بهبودی مجددا تب بازمی‌گردد، دردهای شکمی رخ می‌دهد و آسیب کبدی باعث بروز زردی پوست می‌شود. موجب خودایمنی میشود. در صورت بروز این مشکلات، خطر خونریزی و مشکلات کلیوی نیز افزایش می‌یابد
عامل این بیماری چیست؟,عامل این بیماری ویروس تب زرد است که توسط نیش پشه ماده منتقل می‌شود
به انسان به چه موجوداتی دیگری منتقل میشود؟,این بیماری تنها قابل انتقال به انسان، پستانداران نخستین‌پایهٔ دیگر و چندین گونه از پشه‌ها است
ویروس تب زرد چه نوع ویروسی است؟,این ویروس یک ویروس آران‌ای از سرده «فلاوی ویروس» است
آیا تشخیص آن راحت است؟,تشخیص این بیماری از بیماری‌های دیگر، بخصوص در مراحل اولیه، بسیار دشوار است
چگونه تشخیص داده میشود؟,برای تأیید یک مورد مشکوک نیاز به آزمایش نمونه خون با واکنش زنجیره‌ای پلیمراز است
در سال چند نفر مبتلا میشوند؟,تب زرد سالانه ۲۰۰٬۰۰۰ نفر را مبتلا کرده
از انسان به چه موجوداتی دیگری متنقل میشود؟,منجر به مرگ ۳۰٬۰۰۰ نفر می‌گردد
در کجاها شایع است؟,این بیماری در مناطق گرمسیری آمریکای جنوبی و آفریقا شایع است
عمده موارد مرگ و میر در کجاست؟,حدودا ۹۰٪ از این موارد در آفریقا رخ می‌دهد
آیا در ایران هم وجود دارد؟,غیرقابل‌پاسخ
درمان آن چطور است؟,برای مقابله با تب زرد واکسنی مطمئن و مؤثر وجود دارد و در برخی از کشورها انجام این واکسیناسیون برای مسافران الزامی است. راه دیگر برای جلوگیری از ابتلا به این بیماری کاهش جمعیت پشه‌های ناقل است
آیا واکسن هم دارد؟,واکسن تب زرد یک واکسن است که محافظت در برابر تب زرد را ایجاد می‌کند
واکسن آن چگونه است؟,این واکسن را می‌توان برای کنترل شیوع بیماری مورد استفاده قرار داد. راه‌های تجویز آن یا از طریق تزریق به عضله یا تزریق در زیر پوست می‌باشد
آیا باید دوز یادآور زد؟,حدود ۹۹ درصد از افراد در عرض یک ماه پس از واکسیناسیون ایمنی ایجاد می‌کنند و این ایمنی به نظر می‌رسد که مادام العمر باشد
استاکس نت توسط چه کشوری ساخته شد؟,این ویروس محصول مشترک ایالات متحده آمریکا و واحد ۸۲۰۰ ارتش اسرائیل معرفی شده‌است
رئیس جمهور وقت آمریکا که بود؟,اوباما
در مورد این ویروس توضیح بدید؟,این بدافزار با استفاده از نقص امنیتی موجود در میانبرهای ویندوز، با آلوده کردن رایانه‌های کاربران صنعتی، فایل‌های با قالب اسکادا که مربوط به نرم‌افزارهای WinCC و PCS۷ شرکت زیمنس می‌باشد را جمع‌آوری کرده و به یک سرور خاص ارسال می‌کند
چه کشورهایی به این ویروس آلوده شدند؟,نخستین کشورهایی که به شکل گسترده به این بدافزار آلوده شدند کشورهای ایران، اندونزی و هندوستان بودند
هدفش چیست؟,هدف آن سامانه‌های هدایتگر تأسیسات صنعت هسته‌ای با سیستم عامل ویندوز است
هدف طراحی این ویروس چه بود؟,هدف از طراحی این بدافزار دستیابی به اطلاعات صنعتی ایران است
توسط چه چیزی شناسایی شد؟,ضدویروس وی‌بی‌ای۳۲
این ویروس چگونه خود را  مخفی میکرد؟,این بدافزار برای جلوگیری از شناسایی شدن خود از امضای دیجیتال شرکت Realtek استفاده می‌کند
آیا سیستم ها توسط اینترنت آلوده شده بود؟,منشأ ورود این ویروس به ایران نه از طریق شبکه اینترنت بلکه از طریق حافظه‌های جانبی بوده که افرادی از خارج از کشور به ایران آورده و بدون بررسی لازم به کامپیوترهای در داخل ایران متصل کرده‌اند
آیا فردی که سیستم ها را آلوده کرده بود دستگیر شد؟,غیرقابل‌پاسخ
این بدافزار چگونه آسیب میزد؟,این بدافزار فرکانس‌های مبدل را ابتدا تا بالاتر از ۱۴۰۰ هرتز بالا می‌برد و سپس آن را تا کمتر از ۲ هرتز پایین می‌آورد و سپس آن را فقط برای بالاتر از ۱۰۰۰ هرتز تنظیم می‌کند. در اصل، این بدافزار سرعتی را که موتور با آن کار می‌کند، به هم می‌ریزد که می‌تواند منفجر شود یا هر اتفاقی بیفتد. برای مثال کیفیت محصول پایین آید یا اینکه اصلا تولید نشود، مثلا تأسیسات غنی‌سازی نمی‌توانند به درستی اورانیوم را غنی‌سازی کند. این کار همچنین می‌تواند منجر به خرابی موتور به صورت فیزیکی نیز بشود
دانشگاه کلمبیا در کجا قرار دارد؟,این دانشگاه در بخش منهتن در نیویورک سیتی واقع شده‌است
رتبه  این دانشگاه در us news چند است؟,سومین دانشگاه برتر آمریکا می‌باشد
دانشگاه اول و دوم این رنکینگ کدام دانشگاه ها هستند؟,دانشگاه پرینستون و هاروارد
در رنکینگ شانگهای چطور؟,رتبه‌بندی شانگهای (۲۰۲۰) نیز این دانشگاه را بالاتر از دانشگاه آکسفورد، در رتبهٔ هفتم جهان قرار داده‌است
مهمترین دستاوردهای این دانشگاه چیست؟,یکی از مهم‌ترین دستاوردهای دانشگاه کلمبیا بالاترین تعداد برنده جایزهٔ نوبل برای استادان یا فارغ التحصیلان آن بوده که در این زمینه گوی سبقت را از سایر دانشگاه‌های سراسر دنیا ربوده‌است
چند جایزه نوبل برده است؟,۸۲ برنده نوبل
آیا  از ایران هم دانش آموخته دارد؟,حمید دباشی استاد ایرانی ادبیات تطبیقی و مطالعات ایرانی دانشگاه کلمبیا بوده و احسان یارشاطر که بنیان‌گذار و سرویراستار پروژهٔ دانشنامه ایرانیکا بود، در این دانشگاه به درجه استادی رسید. فرزندان محمدرضا پهلوی، فرحناز و علی‌رضا نیز از دانش‌آموختگان این دانشگاه هستند. محمدرضا شاه پهلوی، پادشاه سابق ایران، از جمله دریافت کنندگان «درجه دکترای افتخاری» از دانشگاه کلمبیا بوده‌است
ایرانیکا چیست؟,دانشنامه ایرانیکا در این دانشگاه منتشر می‌شود
کتابخانه آن چه تعداد کتاب دارد؟,کتابخانه این دانشگاه بیش از نه میلیون کتاب دارد
در بخش هنری چطور؟,یکی از نکات این کتابخانه بخش Avery Architectural and Fine Arts Library است که چهارصد هزار کتاب دارد و در آمریکا بزرگترین منبع در این عرصه به حساب می‌آید
